chr geneProduct text_gene start end strand gene_id
2 protein_coding gene 20110021 20189892 - ENSG00000118965
2 protein_coding gene 20232411 20251789 - ENSG00000068697
2 protein_coding gene 23971534 24149984 - ENSG00000119778
2 protein_coding gene 24252210 24272445 - ENSG00000163026
2 protein_coding gene 24290454 24299313 - ENSG00000115128
2 antisense gene 24388753 24397874 - ENSG00000232642
2 protein_coding gene 27587219 27593353 - ENSG00000115211
2 protein_coding gene 31395924 31456724 - ENSG00000214711
2 protein_coding gene 37195526 37311485 - ENSG00000008869
2 protein_coding gene 38970741 38978636 - ENSG00000115875
2 protein_coding gene 39024871 39103075 - ENSG00000163214
2 protein_coding gene 42669157 42721237 - ENSG00000171126
2 protein_coding gene 44039611 44066004 - ENSG00000138075
2 protein_coding gene 44543420 44589001 - ENSG00000138078
2 lincRNA gene 47419544 47572213 - ENSG00000234690
2 protein_coding gene 50145643 51259674 - ENSG00000179915
2 lincRNA gene 61052267 61108449 - ENSG00000228414
2 processed_transcript gene 61368732 61372104 - ENSG00000212978
2 protein_coding gene 61414598 61697904 - ENSG00000115464
2 antisense gene 64622354 64680932 - ENSG00000223935
2 protein_coding gene 68350068 68384692 - ENSG00000243667
2 protein_coding gene 68686551 68694390 - ENSG00000204923
2 protein_coding gene 71336814 71357369 - ENSG00000124370
2 protein_coding gene 73455134 73460366 - ENSG00000135617
2 protein_coding gene 74362525 74375121 - ENSG00000163170
2 protein_coding gene 74641304 74648718 - ENSG00000159239
2 protein_coding gene 85621871 85645555 - ENSG00000042493
2 protein_coding gene 85771846 85788670 - ENSG00000115486
2 protein_coding gene 86247339 86333278 - ENSG00000068654
2 protein_coding gene 95813075 95831158 - ENSG00000144026
2 protein_coding gene 96914254 96931732 - ENSG00000135956
2 protein_coding gene 98272431 98280570 - ENSG00000115073
2 protein_coding gene 99215773 99224978 - ENSG00000183513
2 protein_coding gene 103332299 103353347 - ENSG00000135953
2 lincRNA gene 108439519 108443347 - ENSG00000230651
2 antisense gene 109123971 109150652 - ENSG00000214184
2 protein_coding gene 110300559 110371783 - ENSG00000186522
2 lincRNA gene 113399409 113403267 - ENSG00000237753
2 pseudogene gene 114368079 114384667 - ENSG00000240356
2 protein_coding gene 120059801 120124404 - ENSG00000186132
2 protein_coding gene 122095352 122407163 - ENSG00000074054
2 protein_coding gene 122484521 122494499 - ENSG00000155438
2 antisense gene 124774435 124782750 - ENSG00000228400
2 protein_coding gene 130831108 130886795 - ENSG00000196604
2 protein_coding gene 132222473 132250316 - ENSG00000173272
2 protein_coding gene 135894486 136288806 - ENSG00000121988
2 lincRNA gene 139175854 139259268 - ENSG00000228043
2 protein_coding gene 159027593 159313265 - ENSG00000153237
2 lincRNA gene 160527219 160568946 - ENSG00000226266
2 protein_coding gene 163123589 163175213 - ENSG00000115267
2 protein_coding gene 166604101 166651192 - ENSG00000115339
2 protein_coding gene 170501935 170550943 - ENSG00000154479
2 lincRNA gene 171579719 171627276 - ENSG00000234350
2 protein_coding gene 172964167 172967628 - ENSG00000115844
2 protein_coding gene 175212750 175260443 - ENSG00000138433
2 antisense gene 182752578 182756390 - ENSG00000260742
2 protein_coding gene 190635049 190649097 - ENSG00000128699
2 protein_coding gene 191369068 191399448 - ENSG00000189362
2 processed_transcript gene 200732119 200775882 - ENSG00000232732
2 protein_coding gene 201735630 201754026 - ENSG00000240344
2 protein_coding gene 203739505 203879521 - ENSG00000138442
2 protein_coding gene 209100951 209130798 - ENSG00000138413
2 protein_coding gene 210886147 211036107 - ENSG00000144445
2 protein_coding gene 211295973 211342376 - ENSG00000115365
2 lincRNA gene 214141276 214148929 - ENSG00000196096
2 protein_coding gene 219128850 219134980 - ENSG00000127837
2 protein_coding gene 219314974 219433084 - ENSG00000135913
2 protein_coding gene 220074494 220094439 - ENSG00000198925
2 protein_coding gene 227596033 227664475 - ENSG00000169047
2 protein_coding gene 227867427 228028829 - ENSG00000081052
2 lincRNA gene 231849083 231860747 - ENSG00000238062
2 protein_coding gene 239133193 239140318 - ENSG00000186235
2 antisense gene 241522117 241526116 - ENSG00000260942
3 protein_coding gene 3111233 3168297 - ENSG00000091181
3 antisense gene 4532575 4534847 - ENSG00000231249
3 antisense gene 5198590 5229014 - ENSG00000233912
3 protein_coding gene 9821544 9834695 - ENSG00000171148
3 pseudogene gene 10055932 10068049 - ENSG00000186162
3 protein_coding gene 14153580 14166370 - ENSG00000163528
3 pseudogene gene 15193340 15247466 - ENSG00000230524
3 protein_coding gene 16299485 16306479 - ENSG00000154813
3 protein_coding gene 19920964 19988517 - ENSG00000163576
3 antisense gene 23236561 23244069 - ENSG00000233153
3 lincRNA gene 26660821 26664181 - ENSG00000225386
3 protein_coding gene 28356494 28390618 - ENSG00000163512
3 protein_coding gene 37027357 37034795 - ENSG00000178567
3 processed_transcript gene 37786923 37903271 - ENSG00000235257
3 protein_coding gene 42798669 42846023 - ENSG00000181061
3 protein_coding gene 44779153 44803154 - ENSG00000163807
3 antisense gene 46406446 46448550 - ENSG00000223552
3 antisense gene 48481762 48488060 - ENSG00000244380
3 lincRNA gene 49586739 49591799 - ENSG00000226913
3 protein_coding gene 50367219 50378411 - ENSG00000068028
3 protein_coding gene 51967446 51975957 - ENSG00000114767
3 protein_coding gene 52435029 52444366 - ENSG00000163930
3 protein_coding gene 53846362 53880417 - ENSG00000016391
3 protein_coding gene 57611184 57678816 - ENSG00000174839
3 protein_coding gene 67410884 67705038 - ENSG00000172340
3 pseudogene gene 75470703 75484261 - ENSG00000244026
3 lincRNA gene 106555658 106959488 - ENSG00000242759
3 protein_coding gene 108268716 108308491 - ENSG00000163507
3 protein_coding gene 119148347 119187677 - ENSG00000176142
3 protein_coding gene 119540170 119813264 - ENSG00000082701
3 protein_coding gene 120043356 120068186 - ENSG00000163428
3 protein_coding gene 121488610 121553926 - ENSG00000173226
3 protein_coding gene 122130715 122134882 - ENSG00000196981
3 protein_coding gene 123209667 123304032 - ENSG00000206527
3 protein_coding gene 129149787 129158878 - ENSG00000129071
3 protein_coding gene 129366635 129612419 - ENSG00000172765
3 processed_transcript gene 131043936 131100319 - ENSG00000250608
3 protein_coding gene 133317019 133380737 - ENSG00000163781
3 protein_coding gene 136055077 136471220 - ENSG00000118007
3 antisense gene 136560568 136580896 - ENSG00000239213
3 protein_coding gene 138663066 138665982 - ENSG00000183770
3 protein_coding gene 139074442 139108574 - ENSG00000184432
3 antisense gene 152874300 152879564 - ENSG00000244268
3 antisense gene 158263009 158288855 - ENSG00000243150
3 antisense gene 159631189 159943086 - ENSG00000244040
3 protein_coding gene 167401086 167452727 - ENSG00000114209
3 lincRNA gene 178819154 178865761 - ENSG00000229102
3 protein_coding gene 179306073 179322442 - ENSG00000136522
3 lincRNA gene 180284506 180319723 - ENSG00000239774
3 antisense gene 182501024 182511182 - ENSG00000240063
3 protein_coding gene 183960089 183967336 - ENSG00000214160
3 protein_coding gene 184063973 184079439 - ENSG00000114859
3 protein_coding gene 190023490 190040264 - ENSG00000163347
3 protein_coding gene 193119866 193310900 - ENSG00000127249
3 lincRNA gene 195382436 195384798 - ENSG00000229178
3 protein_coding gene 195924320 195938308 - ENSG00000163958
3 protein_coding gene 196018090 196045170 - ENSG00000213123
3 lincRNA gene 197171932 197185194 - ENSG00000235126
3 protein_coding gene 197615946 197687013 - ENSG00000114473
4 protein_coding gene 419604 492945 - ENSG00000182903
4 protein_coding gene 843064 926161 - ENSG00000178950
4 protein_coding gene 952675 980683 - ENSG00000145214
4 protein_coding gene 1050038 1107350 - ENSG00000178222
4 protein_coding gene 1717679 1723085 - ENSG00000168936
4 protein_coding gene 1984441 2043630 - ENSG00000185049
4 protein_coding gene 2271309 2420390 - ENSG00000159733
4 protein_coding gene 2932288 2936586 - ENSG00000109736
4 protein_coding gene 2939660 2965112 - ENSG00000087269
4 antisense gene 3065198 3076241 - ENSG00000251075
4 protein_coding gene 4269428 4291896 - ENSG00000145220
4 pseudogene gene 9168023 9171996 - ENSG00000250268
4 protein_coding gene 10488019 10686489 - ENSG00000109684
4 antisense gene 17589090 17616194 - ENSG00000249502
4 protein_coding gene 17802278 17812381 - ENSG00000163257
4 protein_coding gene 20730239 21950422 - ENSG00000185774
4 protein_coding gene 25121627 25162204 - ENSG00000109618
4 protein_coding gene 39455744 39460568 - ENSG00000163682
4 protein_coding gene 39547950 39640710 - ENSG00000163683
4 protein_coding gene 53457138 53525502 - ENSG00000109189
4 lincRNA gene 55702327 55711568 - ENSG00000249727
4 processed_transcript gene 56230138 56262014 - ENSG00000249700
4 protein_coding gene 57259528 57301781 - ENSG00000128059
4 lincRNA gene 59646791 59849870 - ENSG00000251339
4 protein_coding gene 68478370 68566897 - ENSG00000033178
4 protein_coding gene 73939093 74124515 - ENSG00000132466
4 protein_coding gene 76567966 76649709 - ENSG00000138757
4 protein_coding gene 77079890 77135046 - ENSG00000138760
4 antisense gene 79694808 79697127 - ENSG00000260278
4 protein_coding gene 83343717 83351294 - ENSG00000152795
4 protein_coding gene 84328496 84377009 - ENSG00000163312
4 protein_coding gene 86936276 87515284 - ENSG00000109339
4 protein_coding gene 89178772 89205921 - ENSG00000163644
4 protein_coding gene 93218402 93225329 - ENSG00000248511
4 lincRNA gene 95038943 95128707 - ENSG00000246541
4 lincRNA gene 95664951 95678684 - ENSG00000249599
4 protein_coding gene 99391518 99579780 - ENSG00000168785
4 protein_coding gene 99992132 100009952 - ENSG00000197894
4 protein_coding gene 103715540 103790053 - ENSG00000109332
4 antisense gene 106461347 106473512 - ENSG00000250522
4 lincRNA gene 109459346 109541616 - ENSG00000234492
4 protein_coding gene 109731877 110223813 - ENSG00000188517
4 antisense gene 113150717 113152752 - ENSG00000260526
4 protein_coding gene 122745595 122791652 - ENSG00000138686
4 protein_coding gene 123809852 123844123 - ENSG00000170917
4 lincRNA gene 130645326 130692636 - ENSG00000246876
4 lincRNA gene 133996466 134070271 - ENSG00000250241
4 antisense gene 143854348 144106014 - ENSG00000250326
4 antisense gene 148530703 148538396 - ENSG00000251298
4 protein_coding gene 153242410 153457253 - ENSG00000109670
4 protein_coding gene 153690506 153700916 - ENSG00000169989
4 protein_coding gene 170314426 170533780 - ENSG00000137601
4 protein_coding gene 175558065 175750465 - ENSG00000145451
4 lincRNA gene 177787768 177796611 - ENSG00000249458
4 lincRNA gene 184018170 184020352 - ENSG00000251359
4 protein_coding gene 184560788 184580378 - ENSG00000182552
4 protein_coding gene 185308867 185395734 - ENSG00000168310
4 protein_coding gene 185548850 185570663 - ENSG00000164305
4 protein_coding gene 186285032 186317053 - ENSG00000109771
4 protein_coding gene 186320694 186347139 - ENSG00000109775
5 protein_coding gene 196986 218330 - ENSG00000164366
5 protein_coding gene 466239 473213 - ENSG00000188242
5 antisense gene 602735 612325 - ENSG00000249650
5 pseudogene gene 1568637 1594735 - ENSG00000185986
5 protein_coding gene 1798500 1801480 - ENSG00000171421
5 protein_coding gene 1877541 1887350 - ENSG00000113430
5 lincRNA gene 4452043 4866334 - ENSG00000248973
5 lincRNA gene 4974803 5034380 - ENSG00000250481
5 antisense gene 5132893 5140167 - ENSG00000250579
5 protein_coding gene 6599352 6633404 - ENSG00000037474
5 antisense gene 7368042 7373187 - ENSG00000249865
5 protein_coding gene 9035138 9546187 - ENSG00000112902
5 protein_coding gene 10226442 10250009 - ENSG00000150756
5 lincRNA gene 12554002 12574749 - ENSG00000248783
5 antisense gene 14661917 14664713 - ENSG00000261360
5 protein_coding gene 16473147 16617167 - ENSG00000154153
5 lincRNA gene 21323982 21341484 - ENSG00000249359
5 lincRNA gene 25126414 25190765 - ENSG00000251273
5 protein_coding gene 31400604 31532303 - ENSG00000113360
5 antisense gene 33424131 33440725 - ENSG00000249572
5 protein_coding gene 36098514 36152063 - ENSG00000164187
5 lincRNA gene 38736157 38845931 - ENSG00000249740
5 protein_coding gene 43444354 43483995 - ENSG00000151881
5 protein_coding gene 43486803 43515247 - ENSG00000172244
5 antisense gene 44745002 44808879 - ENSG00000251141
5 protein_coding gene 54526980 54529508 - ENSG00000152669
5 protein_coding gene 54552073 54603550 - ENSG00000067248
5 protein_coding gene 55230923 55290821 - ENSG00000134352
5 protein_coding gene 60169658 60240900 - ENSG00000049167
5 protein_coding gene 61683081 61699766 - ENSG00000086189
5 protein_coding gene 64013971 64064512 - ENSG00000153006
5 protein_coding gene 64813593 64858998 - ENSG00000123219
5 lincRNA gene 77638189 77656331 - ENSG00000245556
5 protein_coding gene 78293438 78531861 - ENSG00000132837
5 protein_coding gene 79275584 79287082 - ENSG00000177034
5 antisense gene 80499903 80597379 - ENSG00000247572
5 protein_coding gene 94799599 94890711 - ENSG00000198677
5 protein_coding gene 96496571 96518964 - ENSG00000058729
5 lincRNA gene 99785458 99870966 - ENSG00000247877
5 lincRNA gene 126087655 126112178 - ENSG00000251072
5 protein_coding gene 133541305 133706738 - ENSG00000006837
5 protein_coding gene 141000443 141016437 - ENSG00000171720
5 protein_coding gene 143537723 143550278 - ENSG00000145817
5 antisense gene 146559767 146614422 - ENSG00000250343
5 antisense gene 147647870 147763346 - ENSG00000247199
5 protein_coding gene 148303202 148442726 - ENSG00000169247
5 antisense gene 148727679 148737205 - ENSG00000253618
5 antisense gene 153708997 153825410 - ENSG00000245275
5 protein_coding gene 156512843 156569880 - ENSG00000135077
5 protein_coding gene 157052687 157098488 - ENSG00000039600
5 protein_coding gene 159828648 159848718 - ENSG00000164609
5 antisense gene 162439271 162864332 - ENSG00000250061
5 protein_coding gene 162873532 162887146 - ENSG00000170584
5 protein_coding gene 176047085 176057530 - ENSG00000074317
5 protein_coding gene 176332006 176449634 - ENSG00000087206
5 protein_coding gene 176728199 176730745 - ENSG00000169228
5 protein_coding gene 180681417 180688119 - ENSG00000183718
6 lincRNA gene 708592 711405 - ENSG00000272463
6 protein_coding gene 1624041 2245926 - ENSG00000112699
6 antisense gene 4019077 4021449 - ENSG00000230648
6 protein_coding gene 4115923 4135831 - ENSG00000198721
6 protein_coding gene 5102827 5261172 - ENSG00000214113
6 lincRNA gene 10743557 10747896 - ENSG00000272097
6 protein_coding gene 18128542 18155305 - ENSG00000137364
6 protein_coding gene 24650205 24667261 - ENSG00000111802
6 protein_coding gene 26115101 26124154 - ENSG00000180596
6 pseudogene gene 26839263 26924333 - ENSG00000241549
6 protein_coding gene 27093676 27100541 - ENSG00000124635
6 protein_coding gene 29393281 29424848 - ENSG00000204694
6 protein_coding gene 31110216 31126015 - ENSG00000204536
6 protein_coding gene 31698358 31707540 - ENSG00000213719
6 protein_coding gene 31847536 31865464 - ENSG00000204371
6 protein_coding gene 32135989 32145873 - ENSG00000204310
6 antisense gene 35701644 35704724 - ENSG00000232909
6 antisense gene 37783553 37786994 - ENSG00000225945
6 protein_coding gene 41873092 41888877 - ENSG00000124641
6 protein_coding gene 41902671 42018095 - ENSG00000112576
6 protein_coding gene 43490072 43543812 - ENSG00000124571
6 protein_coding gene 43573053 43596899 - ENSG00000172432
6 antisense gene 46064830 46097443 - ENSG00000231769
6 protein_coding gene 46188475 46459709 - ENSG00000172348
6 protein_coding gene 46517541 46620523 - ENSG00000146233
6 protein_coding gene 49398073 49430904 - ENSG00000146085
6 protein_coding gene 52362200 52441713 - ENSG00000065308
6 antisense gene 53655673 53659072 - ENSG00000228614
6 protein_coding gene 56322785 56819426 - ENSG00000151914
6 antisense gene 69339854 69344919 - ENSG00000230910
6 protein_coding gene 73919469 73972919 - ENSG00000243501
6 protein_coding gene 75962640 75994684 - ENSG00000112697
6 protein_coding gene 88224096 88299721 - ENSG00000146282
6 antisense gene 96023059 96025326 - ENSG00000261366
6 protein_coding gene 97590037 97731093 - ENSG00000146263
6 protein_coding gene 107018903 107077373 - ENSG00000130347
6 protein_coding gene 108362613 108487058 - ENSG00000081087
6 protein_coding gene 109307640 109416022 - ENSG00000080546
6 protein_coding gene 109814059 110012420 - ENSG00000155085
6 protein_coding gene 110421022 110501207 - ENSG00000112290
6 antisense gene 111548950 111580237 - ENSG00000231046
6 protein_coding gene 112391980 112408732 - ENSG00000074935
6 protein_coding gene 116571151 116575261 - ENSG00000187189
6 protein_coding gene 116597741 116601066 - ENSG00000189241
6 antisense gene 117772293 117774688 - ENSG00000226181
6 protein_coding gene 122764499 122792967 - ENSG00000111897
6 protein_coding gene 127759551 127840500 - ENSG00000214338
6 protein_coding gene 130465460 130686570 - ENSG00000164483
6 protein_coding gene 131895106 131949369 - ENSG00000112282
6 protein_coding gene 143743969 143771810 - ENSG00000189007
6 protein_coding gene 146114638 146135889 - ENSG00000118496
6 lincRNA gene 146915652 146920067 - ENSG00000237468
6 protein_coding gene 151725989 151773259 - ENSG00000155906
6 protein_coding gene 153291664 153304714 - ENSG00000112029
6 protein_coding gene 158530536 158589312 - ENSG00000122335
6 protein_coding gene 160199530 160210781 - ENSG00000120438
6 antisense gene 167383114 167412553 - ENSG00000227598
6 processed_transcript gene 168224556 168227389 - ENSG00000198221
6 protein_coding gene 169857307 170102159 - ENSG00000184465
6 protein_coding gene 170140210 170151655 - ENSG00000184786
6 protein_coding gene 170591294 170599561 - ENSG00000198719
7 lincRNA gene 135853 149466 - ENSG00000242474
7 protein_coding gene 536895 559933 - ENSG00000197461
7 protein_coding gene 1468101 1499138 - ENSG00000164877
7 protein_coding gene 2273866 2281840 - ENSG00000122687
7 protein_coding gene 6012870 6048756 - ENSG00000122512
7 protein_coding gene 16639401 16685442 - ENSG00000106524
7 protein_coding gene 20174278 20257027 - ENSG00000183742
7 lincRNA gene 23140847 23145322 - ENSG00000230658
7 antisense gene 29553841 29603286 - ENSG00000223813
7 protein_coding gene 32524951 32534895 - ENSG00000106355
7 lincRNA gene 35791466 35840226 - ENSG00000228878
7 antisense gene 39585245 39605838 - ENSG00000227172
7 antisense gene 39987121 39989354 - ENSG00000259826
7 protein_coding gene 40165622 40174258 - ENSG00000168303
7 protein_coding gene 43915493 43966010 - ENSG00000106608
7 protein_coding gene 55503749 55640681 - ENSG00000154978
7 protein_coding gene 56078744 56119297 - ENSG00000146733
7 lincRNA gene 62787052 62814704 - ENSG00000226587
7 lincRNA gene 62849186 62854035 - ENSG00000232817
7 lincRNA gene 63348578 63361113 - ENSG00000236299
7 protein_coding gene 72726535 72742085 - ENSG00000146755
7 pseudogene gene 74112305 74306731 - ENSG00000160828
7 pseudogene gene 74880905 74988262 - ENSG00000174368
7 protein_coding gene 75625656 75677322 - ENSG00000127952
7 pseudogene gene 76713203 76751433 - ENSG00000214439
7 protein_coding gene 76940068 77045717 - ENSG00000186088
7 lincRNA gene 77286977 77325582 - ENSG00000214293
7 protein_coding gene 77423045 77427897 - ENSG00000135211
7 lincRNA gene 86954541 86974831 - ENSG00000182165
7 protein_coding gene 91828283 91875480 - ENSG00000001631
7 protein_coding gene 92116334 92157845 - ENSG00000127980
7 protein_coding gene 94214542 94285521 - ENSG00000127990
7 protein_coding gene 95212811 95225803 - ENSG00000004799
7 protein_coding gene 97843936 97881563 - ENSG00000205356
7 protein_coding gene 99143931 99156159 - ENSG00000221909
7 protein_coding gene 99767229 99774995 - ENSG00000213420
7 protein_coding gene 102096685 102105323 - ENSG00000160993
7 protein_coding gene 102453308 102715286 - ENSG00000161040
7 protein_coding gene 105245514 105517050 - ENSG00000146776
7 protein_coding gene 111366166 111846466 - ENSG00000128512
7 protein_coding gene 123321989 123389121 - ENSG00000106299
7 antisense gene 127284739 127292066 - ENSG00000240790
7 lincRNA gene 129244389 129251471 - ENSG00000273329
7 protein_coding gene 129470572 129592789 - ENSG00000186591
7 protein_coding gene 129804555 129847610 - ENSG00000146842
7 protein_coding gene 131808091 132333447 - ENSG00000221866
7 protein_coding gene 137559725 137686813 - ENSG00000182158
7 protein_coding gene 139784546 139876835 - ENSG00000006459
7 pseudogene gene 143969538 143991256 - ENSG00000204959
7 protein_coding gene 148799876 148823438 - ENSG00000204947
7 protein_coding gene 154735397 154794794 - ENSG00000157212
7 protein_coding gene 156786745 156803345 - ENSG00000130675
X protein_coding gene 9693386 9754337 - ENSG00000101850
X lincRNA gene 10865996 11129261 - ENSG00000234129
X protein_coding gene 13730363 13752754 - ENSG00000196459
X protein_coding gene 14861529 14891191 - ENSG00000181544
X antisense gene 23791109 23801073 - ENSG00000233785
X protein_coding gene 46357162 46404892 - ENSG00000251192
X protein_coding gene 47834250 47863377 - ENSG00000147118
X pseudogene gene 48013296 48015369 - ENSG00000233139
X protein_coding gene 48045656 48056199 - ENSG00000165583
X protein_coding gene 48205863 48216142 - ENSG00000165584
X pseudogene gene 48239582 48242564 - ENSG00000231603
X protein_coding gene 48261524 48271344 - ENSG00000198946
X antisense gene 48364911 48367226 - ENSG00000224292
X antisense gene 51099796 51139314 - ENSG00000229151
X protein_coding gene 52673140 52683950 - ENSG00000187754
X protein_coding gene 52725946 52736239 - ENSG00000241476
X pseudogene gene 52777574 52779905 - ENSG00000238127
X protein_coding gene 57144984 57147980 - ENSG00000186787
X protein_coding gene 71346958 71351758 - ENSG00000242732
X pseudogene gene 72744111 72782921 - ENSG00000269904
X protein_coding gene 80369200 80457441 - ENSG00000198157
X protein_coding gene 92925929 92928567 - ENSG00000186310
X protein_coding gene 100652791 100662913 - ENSG00000102393
